school,grad_year,major,field_category,placement_rate,continuing_ed_rate,salary_median,source_file
KellyArticleEmployment,NA,NA,Unknown/NA,NA,NA,NA,KellyArticleEmployment.pdf
nsf25331,NA,NA,Unknown/NA,NA,NA,NA,nsf25331.pdf
